ID,Ruta,Distancia (km),Partida,Destino,Latitud Partida,Longitud Partida,Latitud Destino,Longitud Destino,Capacidad,Carga Actual,Eficiencia
1,Ruta Centro-Norte,6.5,"Av. Balmaceda 2500, Antofagasta",Universidad de Antofagasta,-23.641716,-70.398352,-23.608692,-70.399209,100.0,20.0,Baja
2,Ruta Costera,12.3,Terminal Pesquero Antofagasta,Balneario Municipal Antofagasta,-23.632961,-70.408326,-23.677722,-70.403693,80.0,50.0,Media
3,Ruta Mall-Hospital,8.9,Mall Plaza Antofagasta,Hospital Regional de Antofagasta,-23.674183,-70.404219,-23.635238,-70.388189,120.0,100.0,Alta
4,1.1,9.02,"Alvarado, Villa El Salto, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1241241, Chile","Avenida Universidad de Antofagasta, Jardines del Sur, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1271987, Chile",-23.631374269801437,-70.38158978769643,-23.70290210094536,-70.42385126625673,100.0,70.0,Media
5,2,235.7,"General Óscar Bonilla, Villa Las Condes, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1241241, Chile","Tocopilla, Ayllu de Solcor, Larache, San Pedro de Atacama, Provincia de El Loa, Región de Antofagasta, 1410000, Chile",-23.619603726127544,-70.37557716719124,-22.919071509119533,-68.20101216327487,500.0,300.0,Media
6,3,162.57,"Domingo Atienza, Ayllu de Solcor, Condeduque, San Pedro de Atacama, Provincia de El Loa, Región de Antofagasta, 9660000, Chile","Caupolicán, María Elena, Provincia de Tocopilla, Región de Antofagasta, Chile",-22.917499871369067,-68.20546100809733,-22.346954242746307,-69.66322909416206,500.0,200.0,Baja
7,4.4,197.96,"Romulito, 3144, Jaime Creus Moret, Población Matta, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1271572, Chile","Paula Jaraquemada, Villa Oasis, Calama, Provincia de El Loa, Región de Antofagasta, 1390726, Chile",-23.6446577,-70.3842616,-22.466151958120793,-68.93178208351618,500.0,300.0,Media
8,5,25.31,"la cruz, valparaiso","catemu, valparaiso",-32.8279116,-71.2271534,-32.7784214,-70.9633428,500.0,200.0,Baja
9,6,8.53,"Piscina Artificial, Avenida Grecia, Barrio Gran Vía, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1270199, Chile","Complejo Deportivo Minera Mantos Blancos, Héroes de la Conpcecion, Villa México, Antofagasta, Provincia de Antofagasta, Región de Antofagasta, 1200000, Chile",-23.665767449999997,-70.40574905147808,-23.59134565,-70.38861136388772,100.0,100.0,Alta
